ID,Type,Typical,Name,ResultDiseaseID,CauseDiseaseID,RelatedDiseaseID,Description
142,Finding,Yes,Potassium depletion,,,,
141,Diagnosis,Yes,Malignant HTN,,,,
153,Finding,Yes,Glycosuria,,,,
154,Finding,Yes,Urea diuresis (Uremia),,5,,
152,Diagnosis,Yes,Hypertonic fluids,,,,
158,Diagnosis,Yes,Hypertonic dextrose,,,,
155,Diagnosis,Yes,Methanol,,,,
150,Finding,No,Erythrocytosis,,,46,
151,Diagnosis,Yes,Cushing’s syndrome,,,,
159,Finding,Yes,Mg deficiency,,,,
156,Diagnosis,Yes,Arginine or lysine,,,249,
170,Diagnosis,Yes,Gitelman syndrome,,,144,Mutations involving the Na-Cl cotransporter in the distal convoluted tubule of the kidney.
163,Diagnosis,Yes,Hippurate (Toluene inhalant),,,,
165,Diagnosis,Yes,Calcium chloride,,,,
167,Diagnosis,Yes,Malnutrition,,,,
162,Diagnosis,No,SAME (Syndrome of apparent mineralocorticoid excess),,,,
181,Diagnosis,Yes,Batter syndrome,,,37,Mutations involving the Na-K-2Cl cotransporter in the thick ascending limb of the loop of Henle
175,Diagnosis,No,Congenital lipoid adrenal hyperplasia,,,,
178,Diagnosis,Yes,Diarrhea,,197;98;113;40;112;51;136;131;246,,
180,Diagnosis,No,Malignancy,,,,
176,Diagnosis,Yes,In vitro hemolysis,,,,
174,Diagnosis,Yes,Addison’s disease,,,,
183,Diagnosis,No,Tuberculosis,,,,
179,Diagnosis,Yes,Mechanical ventilation,,,,
182,Diagnosis,Yes,Remote vomiting,,,193,
186,Diagnosis,No,Amyloidosis,240,,,
184,Diagnosis,No,Aldosterone synthase deficiency,,,,
193,Diagnosis,No,Remote stomach drainage,,,182,
194,Diagnosis,No,Chewer’s tobacco,,,,
185,Diagnosis,No,Licorice,,,204,
190,Diagnosis,Yes,Vitamin B12 or Folic acid administration (RBC production),,,,
192,Diagnosis,Yes,AKI,,,,
195,Diagnosis,Yes,Milk-alkali syndrome,,,,
191,Diagnosis,Yes,Digoxin toxicity,,,,
196,Diagnosis,Yes,Pancreatitis,,,,
187,Diagnosis,Yes,Paraproteinemia,,,,
198,Finding,Yes,Comatose status,,,,
206,Diagnosis,No,Acid load,,,,
197,Diagnosis,No,Colonoscopy preparation,178,,,
203,Diagnosis,No,Liddle’s syndrome,,,,
204,Diagnosis,No,Carbenoxolone,,,185,A steroid-like structure and similar to substances found in the root of the licorice plant.
201,Diagnosis,Yes,Primary polydipsia,,,11;6,
199,Diagnosis,Yes,RST (Renin-secreting tumor),,,,
202,Finding,Yes,Ketonuria,,87;17;7,,
211,Diagnosis,Yes,Acute Glomerulonephritis,,,,
214,Diagnosis,No,Nefamostat,,,,
216,Diagnosis,No,FHPP (Familial hypokalemic periodic paralysis),,,,
212,Finding,Yes,Hyperglycemia,,,,
213,Diagnosis,No,21-hydroxylase deficiency (CAH),,,,
215,Diagnosis,No,Chloroquine,,,48,Downstream stimulation of Na/K-ATPase
218,Diagnosis,Yes,β-blockers,,226,,
230,Diagnosis,Yes,Remote diuretic use,,,,
227,Diagnosis,No,Hyperkalemic periodic paralysis ,,,,Genetic disease
231,Diagnosis,Yes,Trimethoprim,,,71,Antibiotics
225,Diagnosis,Yes,Increased β2-adrenergic sympathetic activity,,,,ex) post-myocardial infarction; head injury
226,Diagnosis,Yes,Nonselective β-blockers,218,,,
223,Diagnosis,No,Metastatic cancer,,,,
232,Diagnosis,Yes,SIAD (Syndrome of Inappropriate Antidiuresis),,,,
228,Diagnosis,Yes,Estrogen therapy,,,,
221,Diagnosis,Yes,Propylene glycol,,,,
240,Diagnosis,Yes,Tuboinstitial nephropathy,,140;24;115;186;100;23,,
234,Diagnosis,Yes,Post-obstructive diuresis,,,,
241,Finding,Yes,Hyperlipidemia,,,,
236,Diagnosis,Yes,NSAIDs,,,121,
238,Diagnosis,Yes,Calcineurin inhibitors,,,,(ex) cyclosporine; tacrolimus)
239,Diagnosis,Yes,Cirrhosis,265,,,
235,Diagnosis,Yes,Profuse sweating,,,,
242,Finding,Yes,Hypercalcemia/hypoparathyroidism,,,,
245,Diagnosis,No,Secondary adrenal insufficiency,,,,
246,Diagnosis,No,Secretory diarrhea,178,,,
247,Diagnosis,Yes,Insulin excess,,,,
249,Diagnosis,Yes,ε-aminocaproic acid,,,156,Anti-fibrinolysis
250,Finding,Yes,Pain,,,,
251,Diagnosis,Yes,Stroke,,,,
252,Finding,Yes,Anxiety,,,,
253,Diagnosis,No,Meningitis  or Encephalitis,,,,
254,Finding,No,Tumor,,,,
255,Diagnosis,No,High altitude,,,,
256,Diagnosis,No,Pneumonia,,,,
257,Finding,No,Pulmonary edema,,,,
258,Finding,No,Aspiration,,,,
259,Finding,No,Severe anemia,,,,
260,Diagnosis,No,Pregnancy; progesterone,,,,
261,Finding,No,Hemothorax,,,,
262,Diagnosis,No,Flail chest,,,,
263,Diagnosis,No,Pulmonary embolism,,,,
264,Finding,Yes,Sepsis,72,,,
265,Finding,Yes,Hepatic failure,,239,,
267,Finding,Yes,Recovery from metabolic acidosis,,,,
268,Diagnosis,Yes,Sedatives,,,,
269,Finding,Yes,Airway obstruction,,,,
270,Diagnosis,Yes,Asthma,,,,
272,Diagnosis,Yes,Obesity,,,,
273,Finding,Yes,Hypoventilation,,,,
274,Diagnosis,Yes,Emphysema,,,,
275,Diagnosis,Yes,Bronchitis,,,,
276,Diagnosis,Yes,Pneumoconiosis,,,,
277,Finding,Yes,Acute respiratory distress syndrome,,,,
278,Finding,Yes,Barotrauma,,,,
279,Diagnosis,No,Poliomyelitis,,,,
280,Finding,Yes,Kyphoscoliosis,,,,
281,Diagnosis,Yes,Myasthenia,,,,
282,Diagnosis,No,Muscular dystrophies,,,,
283,Diagnosis,No,Villous adenoma,,,,
